x_corr,y_corr,town,county,state,county number
2704.5485,5191.8162, Altamont , Alameda , CA,1
2447.0407,4980.9906, Mission San Jose District , Alameda , CA,1
2619.8243,5138.4841, Trevarno , Alameda , CA,1
2348.1103,5043.832, Union City , Alameda , CA,1
2377.8717,4943.4928, Albrae , Alameda , CA,1
2422.0401,5046.266, Farwell , Alameda , CA,1
2303.7033,4977.3801, Jarvis Landing , Alameda , CA,1
2809.2739,5162.6505, Midway , Alameda , CA,1
2508.1541,5118.2073, Radum , Alameda , CA,1
2072.3074,5259.8708, West Oakland , Alameda , CA,1
2125.6415,5213.2052, Alameda , Alameda , CA,1
2599.2682,5129.8732, Livermore , Alameda , CA,1
2327.0371,4977.658, Newark , Alameda , CA,1
2096.4744,5252.3709, Oakland , Alameda , CA,1
2492.5981,5110.4299, Pleasanton , Alameda , CA,1
2286.4806,5116.8192, Hayward , Alameda , CA,1
2431.4852,5150.1508, Dublin , Alameda , CA,1
2455.0968,5076.2646, Kilkare Woods , Alameda , CA,1
2458.4304,5164.0391, Komandorski Village , Alameda , CA,1
2437.3187,5169.3168, San Ramon Village , Alameda , CA,1
2069.5295,5334.8687, Albany , Alameda , CA,1
2494.5426,5130.9847, Asco , Alameda , CA,1
2253.4239,5142.6515, Ashland , Alameda , CA,1
2280.9248,5142.096, Castro Valley , Alameda , CA,1
2368.1492,5002.1017, Centerville District , Alameda , CA,1
2443.7077,4917.6592, Curtner , Alameda , CA,1
2537.3217,5121.5404, East Pleasanton , Alameda , CA,1
2373.9829,5020.4342, Eberly , Alameda , CA,1
2082.0297,5279.3147, Emeryville , Alameda , CA,1
2302.0366,5034.6002, Hall Station , Alameda , CA,1
2395.65,4970.7138, Irvington District , Alameda , CA,1
2267.3134,5084.0426, Mount Eden , Alameda , CA,1
2348.4264,4954.048, Mowry Landing , Alameda , CA,1
2389.5389,5026.8227, Niles District , Alameda , CA,1
2360.9269,5030.7116, Pabrico , Alameda , CA,1
2135.642,5272.3702, Piedmont , Alameda , CA,1
2233.7013,5100.7087, Russell City , Alameda , CA,1
2211.2002,5172.9283, San Leandro , Alameda , CA,1
2496.2092,5036.8213, Scotts Corner , Alameda , CA,1
2420.9287,4959.325, Snoboy , Alameda , CA,1
2651.2141,5150.9838, Ulmar , Alameda , CA,1
2438.1516,4935.1588, Warm Springs District , Alameda , CA,1
2442.8742,5047.0992, Brightside , Alameda , CA,1
2719.5503,5036.2642, Mendenhall Springs , Alameda , CA,1
2478.7087,5042.3768, Sunol , Alameda , CA,1
2109.53,5207.6498, South Shore , Alameda , CA,1
2349.8154,4994.0464, Mattos , Alameda , CA,1
2301.4811,5093.4868, Sorenson , Alameda , CA,1
2338.9823,5207.0934, Brookshire , Alameda , CA,1
2187.5884,5157.3733, Mulford , Alameda , CA,1
2181.1991,5183.2059, Brookfield Village , Alameda , CA,1
2081.4742,5224.3163, Woodstock , Alameda , CA,1
2095.6411,5296.8142, South Berkeley , Alameda , CA,1
2485.9311,5074.8756, Verona , Alameda , CA,1
2263.9799,5127.3743, Cherryland , Alameda , CA,1
2321.4817,5126.5409, Fairview , Alameda , CA,1
2310.3326,5078.832, Spanish Ranch Mobile Home Park , Alameda , CA,1
2111.9992,5261.8876, Adams Point , Alameda , CA,1
2154.4992,5251.332, Dimond District , Alameda , CA,1
2146.9992,5227.7209, Fruitvale , Alameda , CA,1
2158.1103,5280.2209, Montclair , Alameda , CA,1
2178.9437,5245.4987, Redwood Heights , Alameda , CA,1
4294.5915,6150.6844, Kirkwood , Alpine , CA,2
4533.4875,6142.0715, Shay Creek Summer Home Area , Alpine , CA,2
4577.9324,5854.0205, Peaceful Pines , Alpine , CA,2
4464.3195,6222.3491, Sorensens , Alpine , CA,2
4327.3682,5912.6324, Bear Valley , Alpine , CA,2
4400.4262,5938.7425, Cape Horn , Alpine , CA,2
4580.4332,6276.7934, Fredericksburg , Alpine , CA,2
4363.4806,5926.5208, Lake Alpine , Alpine , CA,2
4671.2695,6113.183, Loope , Alpine , CA,2
4587.1002,6142.9044, Markleeville , Alpine , CA,2
4587.9335,6257.0709, Paynesville , Alpine , CA,2
4545.4327,6225.6819, Woodfords , Alpine , CA,2
4569.0441,6137.6268, Marklee Village , Alpine , CA,2
3611.7879,5951.7953, Fiddletown , Amador , CA,3
3795.4051,5879.8538, Pioneer , Amador , CA,3
3736.5142,5890.9645, Volcano , Amador , CA,3
3837.0733,5902.6309, Barton , Amador , CA,3
3454.0044,5742.3586, Buena Vista , Amador , CA,3
3405.9474,5792.6347, Dagon , Amador , CA,3
3522.618,5929.8518, Plymouth , Amador , CA,3
3564.8413,5840.9662, Sutter Creek , Amador , CA,3
3520.118,5988.1836, Enterprise , Amador , CA,3
4256.5336,6065.1304, Allen , Amador , CA,3
3616.2316,5808.4673, Bonnefoy , Amador , CA,3
3360.3904,5856.7992, Carbondale , Amador , CA,3
3699.0125,5824.0223, Clinton , Amador , CA,3
3512.8954,5889.02, Drytown , Amador , CA,3
3379.5576,5826.5224, Edwin , Amador , CA,3
3695.9565,5780.135, Electra , Amador , CA,3
3442.0596,5782.3572, Firebrick , Amador , CA,3
3434.5593,5800.69, Ione , Amador , CA,3
3593.1752,5796.8011, Jackson , Amador , CA,3
3530.9514,5885.1312, New Chicago , Amador , CA,3
3708.4574,5860.9655, Pine Grove , Amador , CA,3
4240.6999,6085.1302, Plasse , Amador , CA,3
3623.1772,5994.2945, River Pines , Amador , CA,3
3611.5091,5782.6349, Scottsville , Amador , CA,3
3490.3944,5790.9681, Sunnybrook , Amador , CA,3
4253.7563,6118.7407, Kit Carson , Amador , CA,3
3394.0027,5717.9151, Camanche Village , Amador , CA,3
3748.181,5854.2991, Ranch House Estates , Amador , CA,3
3723.7357,5844.0216, Pine Acres , Amador , CA,3
2962.0346,6836.4989, Bangor , Butte , CA,4
2833.4206,6777.0548, Honcut , Butte , CA,4
2622.5792,6941.7738, Richvale , Butte , CA,4
2839.2495,7355.6593, Stirling City , Butte , CA,4
2899.5321,6905.9418, Wyandotte , Butte , CA,4
2979.8118,6945.386, Hurleton , Butte , CA,4
2826.1928,7437.881, Inskip , Butte , CA,4
2759.2516,6812.3317, Robinsons Corner , Butte , CA,4
2816.1912,7529.2694, Butte Meadows , Butte , CA,4
2694.5229,7330.104, Forest Ranch , Butte , CA,4
2900.0824,7560.3808, Jonesville , Butte , CA,4
2751.1896,7486.4919, Lomo , Butte , CA,4
3046.4804,6942.8864, Robinson Mills , Butte , CA,4
2741.4697,7260.3823, Irish Town , Butte , CA,4
2771.1926,7278.1599, Paradise Pines , Butte , CA,4
2654.5257,6860.3863, Biggs , Butte , CA,4
2567.3003,7094.272, Durham , Butte , CA,4
2673.6937,6811.776, Gridley , Butte , CA,4
2810.918,6961.7739, Oroville , Butte , CA,4
2829.2527,6883.4419, Palermo , Butte , CA,4
2745.3593,7207.6048, Paradise , Butte , CA,4
3197.04,7074.8319, Camp Eighteen , Butte , CA,4
2550.6329,7168.438, Chapmantown , Butte , CA,4
2529.7993,7176.4932, Chico , Butte , CA,4
3209.8183,6980.666, Clipper Mills , Butte , CA,4
2636.1872,7373.4372, Cohasset , Butte , CA,4
2495.0776,7096.4937, Dayton , Butte , CA,4
2842.5843,7190.3828, Deadwood , Butte , CA,4
3110.9266,7041.2194, Feather Falls , Butte , CA,4
